Nodes
0|Adams Field-Little Rock, AR|1299202
52|40|216.987692307692|Rick Husband Amarillo International|Amarillo, TX|Norman Y. Mineta San Jose International|San Francisco, CA (Metropolitan Area)
52|54|217.553063063063|Rick Husband Amarillo International|Amarillo, TX|Salt Lake City International|Salt Lake City, UT
52|53|256.386610169491|Rick Husband Amarillo International|Amarillo, TX|Sacramento International|Sacramento, CA
52|23|221.215925925926|Rick Husband Amarillo International|Amarillo, TX|John Wayne Airport-Orange County|Los Angeles, CA (Metropolitan Area)
52|26|204.535360824742|Rick Husband Amarillo International|Amarillo, TX|Lambert-St. Louis International|St. Louis, MO
52|61|217.196931818182|Rick Husband Amarillo International|Amarillo, TX|Tampa International|Tampa, FL (Metropolitan Area)
52|64|142.746446280992|Rick Husband Amarillo International|Amarillo, TX|Tulsa International|Tulsa, OK
52|63|199.151639344262|Rick Husband Amarillo International|Amarillo, TX|Tucson International|Tucson, AZ
3|2|182.447158410452|Austin - Bergstrom International|Austin, TX|Albuquerque International Sunport|Albuquerque, NM
3|1|225.166075949367|Austin - Bergstrom International|Austin, TX|Albany International|Albany, NY
3|52|157.317047244095|Austin - Bergstrom International|Austin, TX|Rick Husband Amarillo International|Amarillo, TX
3|8|201.726167023554|Austin - Bergstrom International|Austin, TX|Bradley International|Hartford, CT
3|5|183.974756277696|Austin - Bergstrom International|Austin, TX|Birmingham-Shuttlesworth International|Birmingham, AL
3|38|181.690909631391|Austin - Bergstrom International|Austin, TX|Nashville International|Nashville, TN
3|7|193.857399103139|Austin - Bergstrom International|Austin, TX|Boise Air Terminal|Boise, ID
3|27|176.433364485982|Austin - Bergstrom International|Austin, TX|Logan International|Boston, MA (Metropolitan Area)
3|9|194.362672672673|Austin - Bergstrom International|Austin, TX|Buffalo Niagara International|Buffalo, NY
3|6|201.826095551894|Austin - Bergstrom International|Austin, TX|Bob Hope|Los Angeles, CA (Metropolitan Area)
3|4|214.178569138277|Austin - Bergstrom International|Austin, TX|Baltimore/Washington International Thurgood Marshall|Washington, DC (Metropolitan Area)
3|11|169.96996996997|Austin - Bergstrom International|Austin, TX|Cleveland-Hopkins International|Cleveland, OH (Metropolitan Area)
3|48|183.158362831858|Austin - Bergstrom International|Austin, TX|Port Columbus International|Columbus, OH
3|12|130.404782608696|Austin - Bergstrom International|Austin, TX|Corpus Christi International|Corpus Christi, TX
3|13|115.36599002849|Austin - Bergstrom International|Austin, TX|Dallas Love Field|Dallas/Fort Worth, TX
3|14|140.951348884381|Austin - Bergstrom International|Austin, TX|Denver International|Denver, CO
3|15|189.557058823529|Austin - Bergstrom International|Austin, TX|Detroit Metro Wayne County|Detroit, MI
3|41|180.786408839779|Austin - Bergstrom International|Austin, TX|Northwest Florida Beaches International|Panama City, FL
3|16|149.991218241042|Austin - Bergstrom International|Austin, TX|El Paso International|El Paso, TX
3|18|171.286789772728|Austin - Bergstrom International|Austin, TX|Fort Lauderdale-Hollywood International|Miami, FL (Metropolitan Area)
3|60|189.632|Austin - Bergstrom International|Austin, TX|Spokane International|Spokane, WA
3|67|109.783802228412|Austin - Bergstrom International|Austin, TX|William P Hobby|Houston, TX
3|65|116.550190677966|Austin - Bergstrom International|Austin, TX|Valley International|Harlingen/San Benito, TX
3|66|194.09393258427|Austin - Bergstrom International|Austin, TX|Washington Dulles International|Washington, DC (Metropolitan Area)
3|20|196.804770992366|Austin - Bergstrom International|Austin, TX|Indianapolis International|Indianapolis, IN
3|28|217.491777777778|Austin - Bergstrom International|Austin, TX|Long Island MacArthur|New York City, NY (Metropolitan Area)
3|21|161.258187134503|Austin - Bergstrom International|Austin, TX|Jackson - Evers International|Jackson/Vicksburg, MS
3|22|183.128641509434|Austin - Bergstrom International|Austin, TX|Jacksonville International|Jacksonville, FL
3|34|199.154110019647|Austin - Bergstrom International|Austin, TX|McCarran International|Las Vegas, NV
3|29|196.143559322033|Austin - Bergstrom International|Austin, TX|Los Angeles International|Los Angeles, CA (Metropolitan Area)
3|32|122.434399052694|Austin - Bergstrom International|Austin, TX|Lubbock Preston Smith International|Lubbock, TX
3|25|183.869975786925|Austin - Bergstrom International|Austin, TX|LaGuardia|New York City, NY (Metropolitan Area)
3|0|153.394060228453|Austin - Bergstrom International|Austin, TX|Adams Field|Little Rock, AR
3|36|140.422257100149|Austin - Bergstrom International|Austin, TX|Midland International|Midland/Odessa, TX
3|24|188.903760107817|Austin - Bergstrom International|Austin, TX|Kansas City International|Kansas City, MO
3|43|167.219726962457|Austin - Bergstrom International|Austin, TX|Orlando International|Orlando, FL
3|10|197.649690873405|Austin - Bergstrom International|Austin, TX|Chicago Midway International|Chicago, IL
3|33|197.304740484429|Austin - Bergstrom International|Austin, TX|Manchester-Boston Regional|Boston, MA (Metropolitan Area)
3|19|168.880761904762|Austin - Bergstrom International|Austin, TX|General Mitchell International|Milwaukee, WI
3|37|195.965638888889|Austin - Bergstrom International|Austin, TX|Minneapolis-St Paul International|Minneapolis/St. Paul, MN
3|30|186.37288931789|Austin - Bergstrom International|Austin, TX|Louis Armstrong New Orleans International|New Orleans, LA
3|35|183.615893764434|Austin - Bergstrom International|Austin, TX|Metropolitan Oakland International|San Francisco, CA (Metropolitan Area)
3|68|138.642323113208|Austin - Bergstrom International|Austin, TX|Will Rogers World|Oklahoma City, OK
3|17|180.285315315315|Austin - Bergstrom International|Austin, TX|Eppley Airfield|Omaha, NE
